"Status (0=Create, 1=Ignore/Created)",Tab Name (Local),Source File Link (External URL),GID Source (External VALUE),GID ImportRange Tab (Local VALUE)
1,ZMO_MAIN,https://docs.google.com/spreadsheets/d/1mKbknrC3ijf4qeAdtTtc-Na51rzG-bLJ19zMJIERRf0/edit?usp=drive_link,511128474,779867356
1,CMLog_AteDi000,"https://docs.google.com/spreadsheets/d/1w0yOXb_wdGOrErY7MyPkMKyruh0LW7XO2R6P_oUynFE/edit?usp=drive_link,",1404309373,1855682061
1,CMLog_EstJa000,"https://docs.google.com/spreadsheets/d/1WYFEeisteqU-Gdec6Dns8Kwum1XaRr0Q6xJtW-TocVY/edit?usp=drive_link,",1404309373,1669773764
1,CMLog_HerHe000,"https://docs.google.com/spreadsheets/d/1VYNbvc4q2OM-70b5XXAW1MrHTY6Xy029boWrrX8HcLA/edit?usp=drive_link,",1404309373,380818210
1,CMLog_PerJo000,"https://docs.google.com/spreadsheets/d/1byilQeSG11E_JicTo5tB4OmFH9fa1Vu7KKC40q9EL9A/edit?usp=drive_link,",1404309373,1803149807
1,CMLog_RioMa000,https://docs.google.com/spreadsheets/d/17nkEal0H1A4YWR2ZqoVfxOu5NlQsIfjuERjLkj-xrn0/edit?usp=drive_link,1404309373,295042807
1,CMLog_SanBi000,"https://docs.google.com/spreadsheets/d/16Hj4foB_7MtnW-fWS8cSQjO05v4RT-FfKJYdTLmjBAE/edit?usp=drive_link,",1404309373,1801671254
1,CMLog_SobJo000,"https://docs.google.com/spreadsheets/d/1job7bmkynUnFasfOYR8F5P1Xve5jzTWPM7DlX4LEJrQ/edit?usp=drive_link,",1404309373,803754443
1,CMLog_Dilasha,https://docs.google.com/spreadsheets/d/12cWCpn9678OVlLrCZqd23G_IBBAEhakiAVYpzkHLdw4/edit?usp=sharing,1404309373,1839062047
1,PSL_ZEN-ANE,"https://docs.google.com/spreadsheets/d/1OLBotl-aQyeGKdGizSTttmpqJ0K5a7ARIbs0MH_X63s/edit?usp=drive_link,",1404309373,1180884565
1,PSL_ZEN-DAG,"https://docs.google.com/spreadsheets/d/1p4w07GRn7Js3iGr4yjK0-fKpeWOIETGmZJ8rNE71XwE/edit?usp=drive_link,",1404309373,1129203238
1,PSL_ZEN-DIA,"https://docs.google.com/spreadsheets/d/1-AENTHtmOBapASolSRc35tDt6UqrdfidFeCLkzlEpD8/edit?usp=drive_link,",1404309373,1668847633
1,PSL_ZEN-JAA,"https://docs.google.com/spreadsheets/d/1i2qccqwgARygHnv5jGXIInWc4hDsIt49I3Iv21u_v9E/edit?usp=drive_link,",1404309373,129120093
1,PSL_ZEN-KAJ,"https://docs.google.com/spreadsheets/d/192aTaS_N0WU3UTZj25g0rgj36wEWhMo6WtykK67cp1s/edit?usp=drive_link,",1404309373,472533374
1,PSL_ZEN-MAL,"https://docs.google.com/spreadsheets/d/1NeRaq3_t6SEK1l3HP0pAHQCe2zDqy1j1cHwxHBOdHgA/edit?usp=drive_link,",1404309373,2063004776
1,PSL_ZEN-MEC,"https://docs.google.com/spreadsheets/d/1LW3szd00F3H_Cnjs5Rnzr6Iu17AKOnX9byh4D3pAmsE/edit?usp=drive_link,",1404309373,862894250
1,PSL_ZEN-VIL,https://docs.google.com/spreadsheets/d/1UlXWkzUKuQjvc4z1VbpIF42hi0DVi_-yOEh6sUhfKCY/edit?usp=drive_link,1404309373,937684925
1,PSL_ZEN-SZA,https://docs.google.com/spreadsheets/d/1hSCI_IuGEw1RkacZcgQr-4WAS_cUlVimJsff99Qm1Bs,1404309373,871485441
1,RVZ_ZEN-ANE,"https://docs.google.com/spreadsheets/d/1OLBotl-aQyeGKdGizSTttmpqJ0K5a7ARIbs0MH_X63s/edit?usp=drive_link,",1438208027,1368013686
1,RVZ_ZEN-DAG,"https://docs.google.com/spreadsheets/d/1p4w07GRn7Js3iGr4yjK0-fKpeWOIETGmZJ8rNE71XwE/edit?usp=drive_link,",1438208027,1756309584
1,RVZ_ZEN-DIA,"https://docs.google.com/spreadsheets/d/1-AENTHtmOBapASolSRc35tDt6UqrdfidFeCLkzlEpD8/edit?usp=drive_link,",1438208027,2126120740
1,RVZ_ZEN-JAA,"https://docs.google.com/spreadsheets/d/1i2qccqwgARygHnv5jGXIInWc4hDsIt49I3Iv21u_v9E/edit?usp=drive_link,",1438208027,997081094
1,RVZ_ZEN-KAJ,"https://docs.google.com/spreadsheets/d/192aTaS_N0WU3UTZj25g0rgj36wEWhMo6WtykK67cp1s/edit?usp=drive_link,",1438208027,331953537
1,RVZ_ZEN-MAL,"https://docs.google.com/spreadsheets/d/1NeRaq3_t6SEK1l3HP0pAHQCe2zDqy1j1cHwxHBOdHgA/edit?usp=drive_link,",1438208027,245803514
1,RVZ_ZEN-MEC,"https://docs.google.com/spreadsheets/d/1LW3szd00F3H_Cnjs5Rnzr6Iu17AKOnX9byh4D3pAmsE/edit?usp=drive_link,",1438208027,1949538375
1,RVZ_ZEN-VIL,https://docs.google.com/spreadsheets/d/1UlXWkzUKuQjvc4z1VbpIF42hi0DVi_-yOEh6sUhfKCY/edit?usp=drive_link,1360121350,1078811925
1,RVZ_ZEN-SZA,https://docs.google.com/spreadsheets/d/1hSCI_IuGEw1RkacZcgQr-4WAS_cUlVimJsff99Qm1Bs,1438208027,653716110
