year_month,staging_cnt,sheets_cnt,diff
2001_01,16,16,0
2022_01,6,0,6
2023_05,22,22,0
2023_06,11,11,0
2023_07,4,4,0
2023_10,103,103,0
2023_11,142,142,0
2023_12,140,140,0
2024_01,129,129,0
2024_02,189,189,0
2024_03,214,214,0
2024_04,247,247,0
2024_05,244,244,0
2024_06,239,239,0
2024_07,265,265,0
2024_08,261,261,0
2024_09,229,229,0
2024_10,260,260,0
2024_11,129,129,0
2024_12,168,168,0
2025_01,139,139,0
2025_02,238,238,0
2025_03,310,310,0
2025_04,294,294,0
2025_05,245,245,0
2025_06,250,250,0
2025_07,202,202,0
2025_08,243,254,-11
2025_09,198,267,-69
2025_10,0,105,-105
2025_11,0,30,-30
