task_date,task_type,task_count,unique_patients,unique_providers
2025-09-02,"Coordinator Tasks",194,140,4
2025-09-02,"Provider Tasks",9,9,1
2025-09-03,"Coordinator Tasks",125,80,3
2025-09-03,"Provider Tasks",18,18,3
2025-09-04,"Coordinator Tasks",145,63,4
2025-09-04,"Provider Tasks",13,13,4
2025-09-05,"Coordinator Tasks",180,75,4
2025-09-05,"Provider Tasks",9,9,3
2025-09-08,"Coordinator Tasks",224,164,4
2025-09-08,"Provider Tasks",11,11,2
2025-09-09,"Coordinator Tasks",150,78,4
2025-09-09,"Provider Tasks",8,8,1
2025-09-10,"Coordinator Tasks",164,61,4
2025-09-10,"Provider Tasks",8,8,2
2025-09-11,"Coordinator Tasks",150,51,3
2025-09-11,"Provider Tasks",14,14,2
2025-09-12,"Coordinator Tasks",211,98,4
2025-09-12,"Provider Tasks",8,8,2
2025-09-15,"Coordinator Tasks",199,98,4
2025-09-15,"Provider Tasks",7,7,1
2025-09-16,"Coordinator Tasks",162,77,5
2025-09-16,"Provider Tasks",11,11,1
2025-09-17,"Coordinator Tasks",152,109,4
2025-09-17,"Provider Tasks",11,11,2
2025-09-18,"Coordinator Tasks",178,110,4
2025-09-18,"Provider Tasks",12,12,2
2025-09-19,"Coordinator Tasks",114,42,3
2025-09-19,"Provider Tasks",11,11,3
2025-09-22,"Coordinator Tasks",148,93,2
2025-09-22,"Provider Tasks",6,6,1
2025-09-23,"Coordinator Tasks",72,23,2
2025-09-23,"Provider Tasks",5,5,1
2025-09-24,"Coordinator Tasks",89,50,3
2025-09-24,"Provider Tasks",15,15,2
2025-09-25,"Provider Tasks",15,15,2
2025-09-26,"Provider Tasks",8,8,2
